Current (A),Voltage_B1(V),Voltage_B2(V),Voltage_B3(V)
1.663880,4.041654,4.091000,4.124659
1.664703,4.041654,4.090172,4.124659
1.663058,4.040830,4.090172,4.124659
1.664703,4.041654,4.091000,4.124659
1.663880,4.041654,4.091000,4.125490
1.663880,4.041654,4.090172,4.124659
1.663058,4.041654,4.091000,4.124659
1.664703,4.041654,4.090172,4.125490
1.664703,4.041654,4.090172,4.125490
1.663880,4.040830,4.089344,4.123828
1.663058,4.041654,4.091000,4.125490
1.663058,4.040830,4.090172,4.124659
1.663880,4.041654,4.090172,4.124659
1.663058,4.041654,4.090172,4.124659
1.663058,4.041654,4.090172,4.125490
1.663880,4.040830,4.090172,4.124659
1.663880,4.040830,4.089344,4.124659
1.663058,4.040830,4.089344,4.124659
1.663880,4.041654,4.090172,4.125490
1.663880,4.041654,4.090172,4.124659
1.663880,4.041654,4.090172,4.124659
1.663880,4.041654,4.090172,4.124659
1.663880,4.041654,4.089344,4.123828
1.664703,4.041654,4.090172,4.124659
1.664703,4.041654,4.089344,4.123828
1.663880,4.041654,4.089344,4.124659
1.663880,4.040830,4.090172,4.124659
1.663880,4.041654,4.090172,4.124659
1.664703,4.041654,4.089344,4.124659
1.663058,4.041654,4.089344,4.124659
1.663880,4.040830,4.090172,4.124659
1.664703,4.040830,4.088515,4.123828
1.664703,4.040830,4.089344,4.124659
1.663058,4.041654,4.090172,4.125490
1.663058,4.041654,4.089344,4.124659
1.664703,4.041654,4.090172,4.125490
1.663880,4.041654,4.089344,4.125490
1.664703,4.041654,4.089344,4.124659
1.664703,4.040830,4.089344,4.124659
1.663880,4.040830,4.089344,4.124659
1.664703,4.040830,4.089344,4.124659
1.663880,4.041654,4.090172,4.125490
1.663880,4.040830,4.089344,4.125490
1.663058,4.041654,4.089344,4.124659
1.663880,4.040830,4.089344,4.124659
1.663058,4.040830,4.088515,4.124659
1.663880,4.040830,4.088515,4.124659
1.663880,4.041654,4.089344,4.123828
1.663880,4.041654,4.089344,4.124659
1.663880,4.041654,4.089344,4.124659
1.664703,4.041654,4.089344,4.124659
1.663880,4.041654,4.089344,4.123828
1.664703,4.041654,4.089344,4.123828
1.665525,4.040830,4.088515,4.122997
1.663880,4.040830,4.088515,4.123828
1.664703,4.041654,4.089344,4.124659
1.663880,4.041654,4.089344,4.123828
1.664703,4.041654,4.088515,4.123828
1.663880,4.041654,4.089344,4.123828
1.664703,4.040830,4.089344,4.123828
1.664703,4.040006,4.087687,4.122997
1.664703,4.040830,4.088515,4.124659
1.663880,4.041654,4.088515,4.124659
1.664703,4.040830,4.088515,4.123828
1.663880,4.040830,4.088515,4.123828
1.664703,4.041654,4.089344,4.124659
1.663880,4.041654,4.088515,4.124659
1.664703,4.040830,4.088515,4.123828
1.663880,4.041654,4.089344,4.123828
1.664703,4.040006,4.089344,4.123828
1.664703,4.040830,4.089344,4.124659
1.664703,4.040830,4.088515,4.123828
1.663058,4.040830,4.089344,4.123828
1.664703,4.040006,4.087687,4.122166
1.664703,4.041654,4.089344,4.123828
1.663880,4.041654,4.089344,4.123828
1.663880,4.041654,4.089344,4.123828
1.664703,4.041654,4.090172,4.123828
1.663880,4.041654,4.090172,4.123828
1.663880,4.041654,4.089344,4.123828
1.663880,4.040830,4.088515,4.122997
1.663880,4.040830,4.088515,4.123828
1.663880,4.040006,4.088515,4.122997
1.663880,4.040830,4.089344,4.122997
1.664703,4.040830,4.089344,4.123828
1.663058,4.040830,4.088515,4.123828
1.664703,4.041654,4.089344,4.124659
1.664703,4.040006,4.087687,4.122166
1.664703,4.040830,4.088515,4.123828
1.663880,4.040830,4.089344,4.123828
1.664703,4.040830,4.089344,4.123828
1.663880,4.040830,4.089344,4.123828
1.664703,4.040830,4.089344,4.123828
1.663880,4.041654,4.089344,4.123828
1.664703,4.040006,4.087687,4.122997
1.663880,4.040830,4.088515,4.123828
1.663880,4.041654,4.089344,4.124659
1.663880,4.041654,4.089344,4.123828
1.663880,4.040830,4.089344,4.122997
1.663880,4.040830,4.089344,4.123828
1.663880,4.041654,4.089344,4.123828
1.663880,4.040830,4.088515,4.122997
1.664703,4.040830,4.089344,4.123828
1.663880,4.040830,4.089344,4.123828
1.664703,4.040830,4.089344,4.123828
1.663880,4.040006,4.089344,4.123828
1.663880,4.040830,4.089344,4.123828
1.663880,4.040006,4.088515,4.122997
1.664703,4.040006,4.089344,4.122997
1.663058,4.040006,4.089344,4.123828
1.664703,4.040830,4.090172,4.123828
1.663880,4.040830,4.089344,4.123828
1.664703,4.040830,4.090172,4.123828
1.663880,4.040830,4.089344,4.122166
1.665525,4.040830,4.089344,4.122997
1.664703,4.040830,4.089344,4.123828
1.663880,4.041654,4.089344,4.123828
1.663880,4.041654,4.090172,4.123828
1.663880,4.041654,4.090172,4.123828
1.663880,4.041654,4.090172,4.123828
1.664703,4.040006,4.088515,4.122166
1.663880,4.041654,4.090172,4.123828
1.663058,4.041654,4.089344,4.123828
1.663880,4.041654,4.089344,4.123828
1.665525,4.041654,4.089344,4.123828
1.664703,4.041654,4.089344,4.123828
1.663880,4.041654,4.089344,4.122997
1.664703,4.041654,4.089344,4.123828
1.664703,4.041654,4.090172,4.123828
1.663880,4.040830,4.089344,4.123828
1.663880,4.040830,4.089344,4.122997
1.663880,4.040830,4.089344,4.123828
1.663880,4.040830,4.088515,4.122997
1.663880,4.040006,4.088515,4.122166
1.663880,4.040830,4.089344,4.123828
1.663880,4.040830,4.089344,4.123828
1.664703,4.040830,4.089344,4.123828
1.663880,4.040830,4.089344,4.123828
1.663880,4.040830,4.089344,4.122997
1.665525,4.040830,4.087687,4.121335
1.664703,4.040830,4.088515,4.122997
1.663880,4.040830,4.088515,4.122997
1.664703,4.040830,4.088515,4.123828
1.664703,4.040830,4.088515,4.123828
1.663880,4.040830,4.088515,4.122997
1.663880,4.040830,4.088515,4.122997
1.664703,4.040830,4.088515,4.122997
1.664703,4.039181,4.086859,4.122166
1.663880,4.040006,4.088515,4.122166
1.664703,4.040830,4.089344,4.122997
1.663058,4.040830,4.088515,4.122166
1.664703,4.040830,4.088515,4.122997
1.663880,4.040830,4.089344,4.122997
1.663880,4.040830,4.088515,4.122166
1.664703,4.040006,4.086859,4.120504
1.664703,4.040006,4.087687,4.121335
1.663880,4.040830,4.088515,4.122997
1.664703,4.040006,4.088515,4.122997
1.663880,4.040830,4.089344,4.122166
1.664703,4.040006,4.088515,4.122166
1.664703,4.040830,4.088515,4.122166
1.663880,4.040830,4.088515,4.122997
1.664703,4.039181,4.086859,4.120504
1.663880,4.040830,4.088515,4.122997
1.663880,4.040830,4.088515,4.122166
1.663880,4.040830,4.088515,4.122166
1.664703,4.041654,4.089344,4.122166
1.663880,4.040830,4.088515,4.122166
1.663880,4.040830,4.088515,4.122166
1.664703,4.039181,4.086859,4.121335
1.663880,4.040006,4.086859,4.122166
1.664703,4.041654,4.088515,4.122166
1.663880,4.040830,4.088515,4.122166
1.664703,4.040830,4.087687,4.122166
1.664703,4.040006,4.087687,4.122166
1.664703,4.040830,4.088515,4.122166
1.664703,4.040006,4.088515,4.122166
1.665525,4.039181,4.086859,4.121335
1.663880,4.041654,4.089344,4.123828
1.665525,4.040830,4.088515,4.122997
1.664703,4.040830,4.087687,4.122997
1.663058,4.040830,4.088515,4.122166
1.664703,4.040830,4.088515,4.122166
1.664703,4.040830,4.088515,4.122997
1.664703,4.039181,4.086859,4.121335
1.664703,4.040006,4.088515,4.122997
1.663880,4.040830,4.088515,4.122997
1.664703,4.040830,4.088515,4.122997
1.664703,4.040830,4.088515,4.122997
1.663880,4.040830,4.089344,4.122997
1.664703,4.040006,4.088515,4.122166
1.665525,4.040006,4.088515,4.122166
1.665525,4.038357,4.086859,4.120504
1.664703,4.039181,4.087687,4.121335
1.664703,4.040830,4.088515,4.122997
1.664703,4.040006,4.088515,4.122166
1.664703,4.040006,4.088515,4.122166
1.664703,4.040830,4.088515,4.122166
1.663880,4.040006,4.088515,4.122166
1.664703,4.039181,4.088515,4.122166
1.664703,4.039181,4.087687,4.122166
1.665525,4.039181,4.086859,4.120504
1.664703,4.040006,4.089344,4.122997
1.665525,4.039181,4.089344,4.122166
1.664703,4.040006,4.089344,4.122166
1.663880,4.039181,4.088515,4.122166
1.665525,4.040006,4.088515,4.122997
1.664703,4.040006,4.089344,4.122166
1.665525,4.039181,4.088515,4.122166
1.665525,4.039181,4.088515,4.121335
1.663880,4.040006,4.088515,4.122166
1.663880,4.040830,4.089344,4.122997
1.664703,4.039181,4.088515,4.122166
1.663880,4.039181,4.088515,4.122166
1.664703,4.039181,4.089344,4.122166
1.664703,4.039181,4.088515,4.122166
1.664703,4.038357,4.088515,4.121335
1.665525,4.038357,4.087687,4.122166
1.664703,4.039181,4.088515,4.122166
1.663880,4.040006,4.088515,4.122166
1.664703,4.040006,4.088515,4.122997
1.664703,4.039181,4.088515,4.122166
1.663880,4.040006,4.088515,4.122166
1.663880,4.040006,4.089344,4.122997
1.663880,4.039181,4.089344,4.122997
1.664703,4.039181,4.087687,4.121335
1.664703,4.038357,4.086031,4.120504
1.663058,4.040830,4.089344,4.122997
1.663880,4.040006,4.088515,4.122166
1.664703,4.040006,4.088515,4.122166
1.664703,4.039181,4.088515,4.122166
1.663880,4.039181,4.088515,4.122166
1.664703,4.039181,4.088515,4.122166
1.663880,4.039181,4.088515,4.122166
1.663880,4.038357,4.086859,4.120504
1.664703,4.038357,4.086859,4.121335
1.663880,4.039181,4.087687,4.121335
1.663880,4.039181,4.088515,4.122166
1.663880,4.039181,4.087687,4.121335
1.664703,4.039181,4.086859,4.122166
1.663880,4.040006,4.087687,4.122166
1.663880,4.039181,4.087687,4.122166
1.663880,4.038357,4.086859,4.121335
1.664703,4.038357,4.086031,4.121335
1.663880,4.038357,4.086859,4.121335
1.664703,4.039181,4.086859,4.122166
1.664703,4.039181,4.087687,4.122166
1.663880,4.039181,4.087687,4.122166
1.664703,4.040006,4.087687,4.122166
1.664703,4.039181,4.087687,4.122166
1.663880,4.039181,4.086859,4.122166
1.663880,4.039181,4.086859,4.122166
1.664703,4.038357,4.086859,4.121335
1.664703,4.038357,4.086031,4.120504
1.664703,4.040006,4.087687,4.122166
1.664703,4.039181,4.086859,4.122166
1.663880,4.040006,4.087687,4.122166
1.664703,4.040006,4.086859,4.122166
1.664703,4.040006,4.086859,4.122166
1.663880,4.039181,4.087687,4.122166
1.664703,4.039181,4.086859,4.121335
1.664703,4.038357,4.086859,4.120504
1.664703,4.037533,4.086859,4.120504
1.663880,4.039181,4.087687,4.122166
1.664703,4.039181,4.087687,4.122166
1.664703,4.039181,4.087687,4.122166
1.663058,4.040006,4.088515,4.122166
1.664703,4.039181,4.087687,4.121335
1.664703,4.039181,4.086859,4.122166
1.664703,4.040006,4.086859,4.121335
1.663880,4.039181,4.086859,4.120504
1.664703,4.039181,4.086031,4.120504
1.664703,4.039181,4.086031,4.120504
1.664703,4.038357,4.086031,4.120504
1.663880,4.039181,4.086859,4.121335
1.664703,4.039181,4.086859,4.121335
1.664703,4.039181,4.086859,4.121335
1.663880,4.039181,4.086859,4.120504
1.664703,4.040006,4.087687,4.121335
1.664703,4.040006,4.086859,4.120504
1.664703,4.039181,4.086859,4.121335
1.664703,4.039181,4.086859,4.121335
1.664703,4.038357,4.085203,4.119672
1.664703,4.038357,4.086031,4.120504
1.664703,4.038357,4.086859,4.120504
1.664703,4.039181,4.086859,4.120504
1.664703,4.040006,4.086859,4.120504
1.664703,4.039181,4.086859,4.120504
1.663880,4.040006,4.086859,4.120504
1.664703,4.039181,4.087687,4.120504
1.665525,4.039181,4.086859,4.120504
1.663880,4.039181,4.086859,4.120504
1.663880,4.039181,4.086031,4.120504
1.664703,4.039181,4.086031,4.119672
1.664703,4.038357,4.086859,4.120504
1.664703,4.038357,4.086859,4.119672
1.664703,4.039181,4.086859,4.121335
1.664703,4.039181,4.086859,4.120504
1.664703,4.040006,4.086859,4.120504
1.664703,4.040006,4.086859,4.120504
1.664703,4.040006,4.086859,4.120504
1.663880,4.040006,4.086859,4.121335
1.664703,4.039181,4.086859,4.120504
1.664703,4.040006,4.086859,4.120504
1.663880,4.038357,4.086031,4.119672
1.664703,4.038357,4.086031,4.119672
1.665525,4.039181,4.086031,4.120504
1.663880,4.040006,4.087687,4.121335
1.664703,4.039181,4.086859,4.120504
1.663880,4.039181,4.086859,4.120504
1.663880,4.039181,4.086859,4.121335
1.664703,4.039181,4.086859,4.121335
1.664703,4.039181,4.087687,4.121335
1.663880,4.039181,4.086859,4.121335
1.663880,4.039181,4.087687,4.121335
1.663880,4.038357,4.087687,4.120504
1.663880,4.038357,4.086031,4.119672
1.663880,4.037533,4.086031,4.119672
1.664703,4.038357,4.086859,4.121335
1.664703,4.038357,4.086859,4.120504
1.663058,4.039181,4.087687,4.121335
1.664703,4.039181,4.087687,4.121335
1.664703,4.039181,4.087687,4.120504
1.663880,4.038357,4.086859,4.120504
1.663880,4.039181,4.086859,4.121335
1.664703,4.039181,4.086859,4.121335
1.664703,4.040006,4.087687,4.121335
1.663058,4.038357,4.086859,4.120504
1.663880,4.039181,4.086859,4.120504
1.664703,4.039181,4.086031,4.119672
1.664703,4.039181,4.086031,4.119672
1.664703,4.039181,4.086031,4.118841
1.664703,4.038357,4.086859,4.119672
1.663880,4.038357,4.086859,4.120504
1.664703,4.039181,4.086859,4.120504
1.664703,4.039181,4.086859,4.120504
1.663880,4.039181,4.086859,4.120504
1.664703,4.039181,4.087687,4.120504
1.663880,4.038357,4.086859,4.120504
1.663880,4.039181,4.086859,4.120504
1.665525,4.038357,4.086859,4.120504
1.663880,4.038357,4.086859,4.121335
1.663058,4.038357,4.086859,4.120504
1.663880,4.037533,4.087687,4.120504
1.663880,4.037533,4.086031,4.119672
1.664703,4.039181,4.086859,4.120504
1.664703,4.038357,4.086859,4.119672
1.663880,4.038357,4.086031,4.119672
1.663880,4.039181,4.086859,4.120504
1.663880,4.039181,4.086859,4.120504
1.663880,4.039181,4.086859,4.119672
1.664703,4.039181,4.087687,4.119672
1.664703,4.039181,4.088515,4.119672
1.663880,4.038357,4.087687,4.120504
1.664703,4.039181,4.086859,4.119672
1.664703,4.039181,4.086859,4.120504
1.663880,4.039181,4.086859,4.120504
1.664703,4.039181,4.086859,4.120504
1.663880,4.039181,4.086859,4.120504
1.663880,4.039181,4.086859,4.119672
1.663880,4.039181,4.086859,4.119672
1.663880,4.038357,4.086031,4.118841
1.663880,4.038357,4.086031,4.118841
1.663058,4.039181,4.086031,4.119672
1.663880,4.038357,4.085203,4.118841
1.664703,4.037533,4.085203,4.118010
1.663880,4.038357,4.086031,4.118841
1.663880,4.039181,4.086859,4.119672
1.663880,4.039181,4.086859,4.119672
1.663880,4.039181,4.086031,4.119672
1.663880,4.039181,4.086859,4.119672
1.663880,4.040006,4.086859,4.119672
1.663880,4.039181,4.086859,4.119672
1.663880,4.039181,4.086859,4.119672
1.663880,4.039181,4.086859,4.119672
1.663880,4.039181,4.086859,4.119672
1.663058,4.038357,4.086031,4.119672
1.663880,4.039181,4.086031,4.120504
1.663880,4.039181,4.086859,4.120504
1.663880,4.039181,4.086031,4.119672
1.663058,4.039181,4.086031,4.119672
1.664703,4.039181,4.086031,4.119672
1.663880,4.038357,4.086031,4.118841
1.663058,4.038357,4.086031,4.119672
1.664703,4.037533,4.085203,4.118010
1.663880,4.038357,4.085203,4.118841
1.663880,4.038357,4.086031,4.118841
1.664703,4.038357,4.086031,4.118841
1.664703,4.038357,4.086031,4.118841
1.664703,4.039181,4.086859,4.119672
1.664703,4.038357,4.086031,4.119672
1.664703,4.039181,4.086031,4.119672
1.663880,4.038357,4.086031,4.119672
1.663880,4.038357,4.086859,4.119672
1.663880,4.038357,4.086859,4.119672
1.664703,4.038357,4.086031,4.119672
1.663880,4.038357,4.086031,4.119672
1.664703,4.037533,4.085203,4.119672
1.664703,4.039181,4.086031,4.119672
1.664703,4.038357,4.086031,4.118841
1.664703,4.038357,4.086859,4.118841
1.664703,4.039181,4.086859,4.119672
1.664703,4.038357,4.086859,4.119672
1.664703,4.037533,4.086859,4.118841
1.664703,4.039181,4.086031,4.118841
1.663880,4.037533,4.086031,4.118841
1.663880,4.038357,4.086031,4.118841
1.663880,4.038357,4.086031,4.118841
1.664703,4.037533,4.086031,4.118010
1.663880,4.038357,4.085203,4.118010
1.663880,4.037533,4.085203,4.118010
1.663880,4.038357,4.085203,4.118841
1.663880,4.038357,4.086031,4.119672
1.663058,4.038357,4.086031,4.118841
1.663058,4.037533,4.085203,4.118010
1.663880,4.037533,4.086031,4.118010
1.664703,4.036709,4.086859,4.118010
1.664703,4.037533,4.086031,4.118841
1.664703,4.038357,4.086031,4.118841
1.663880,4.038357,4.086031,4.118841
1.663880,4.038357,4.085203,4.118841
1.664703,4.038357,4.086031,4.118841
1.663058,4.038357,4.086031,4.119672
1.663880,4.038357,4.085203,4.118841
1.663880,4.038357,4.085203,4.118841
1.664703,4.038357,4.086031,4.119672
1.664703,4.037533,4.085203,4.118010
1.663880,4.037533,4.086031,4.118841
1.664703,4.038357,4.085203,4.118010
1.663880,4.038357,4.085203,4.118841
1.664703,4.038357,4.085203,4.118841
1.663880,4.038357,4.086031,4.118841
1.663880,4.037533,4.085203,4.118841
1.663880,4.037533,4.086031,4.118841
1.664703,4.038357,4.086031,4.118841
1.664703,4.037533,4.086031,4.119672
1.663880,4.037533,4.086031,4.120504
1.664703,4.037533,4.086031,4.118841
1.664703,4.038357,4.086031,4.118841
1.664703,4.037533,4.086859,4.118010
1.664703,4.037533,4.086031,4.118841
1.663880,4.037533,4.086031,4.118841
1.663880,4.037533,4.086031,4.118841
1.664703,4.037533,4.085203,4.118841
1.663880,4.038357,4.085203,4.118010
1.663880,4.038357,4.086031,4.118841
1.663880,4.037533,4.085203,4.118010
1.663880,4.037533,4.086031,4.118841
1.663880,4.036709,4.086031,4.118010
1.663880,4.037533,4.086031,4.118841
1.663880,4.037533,4.086031,4.118841
1.664703,4.036709,4.085203,4.118010
1.663880,4.037533,4.085203,4.118010
1.664703,4.037533,4.086031,4.118841
1.663058,4.036709,4.086031,4.118010
1.665525,4.036709,4.085203,4.118841
1.663880,4.036709,4.085203,4.118010
1.663880,4.036709,4.086031,4.118841
1.665525,4.036709,4.086031,4.118010
1.664703,4.036709,4.086031,4.118841
1.664703,4.036709,4.086031,4.118841
1.664703,4.036709,4.086859,4.118841
1.664703,4.036709,4.086031,4.118010
1.664703,4.036709,4.086859,4.118841
1.664703,4.037533,4.086031,4.118841
1.664703,4.036709,4.086031,4.118841
1.664703,4.036709,4.086031,4.118841
1.663880,4.036709,4.086031,4.118841
1.664703,4.037533,4.086031,4.118841
1.664703,4.037533,4.086031,4.118841
1.664703,4.037533,4.086031,4.118010
1.664703,4.037533,4.086031,4.118010
1.665525,4.036709,4.086031,4.118010
1.664703,4.036709,4.085203,4.117179
1.663880,4.037533,4.085203,4.118010
1.663880,4.037533,4.085203,4.118010
1.664703,4.036709,4.086031,4.118010
1.664703,4.037533,4.086859,4.118010
1.663880,4.037533,4.086031,4.118841
1.664703,4.037533,4.086031,4.118010
1.663880,4.037533,4.086031,4.118010
1.663880,4.037533,4.086031,4.118010
1.664703,4.037533,4.086031,4.118010
1.664703,4.037533,4.086031,4.117179
1.664703,4.037533,4.086031,4.117179
1.664703,4.036709,4.086031,4.118010
1.664703,4.037533,4.085203,4.118841
1.663880,4.038357,4.086031,4.118841
1.665525,4.036709,4.085203,4.118841
1.664703,4.036709,4.086859,4.118010
1.665525,4.036709,4.086031,4.118010
1.664703,4.036709,4.085203,4.118010
1.664703,4.037533,4.085203,4.118010
1.664703,4.038357,4.086031,4.118010
1.664703,4.037533,4.086031,4.117179
1.664703,4.037533,4.086031,4.118010
1.664703,4.038357,4.086031,4.118010
1.664703,4.038357,4.086031,4.118010
1.664703,4.038357,4.085203,4.118010
1.665525,4.038357,4.086031,4.118010
1.664703,4.038357,4.086031,4.118010
1.664703,4.038357,4.086031,4.118010
1.664703,4.038357,4.086031,4.117179
1.665525,4.037533,4.085203,4.117179
1.663880,4.038357,4.086031,4.118010
1.663880,4.037533,4.086031,4.117179
1.664703,4.037533,4.085203,4.117179
1.664703,4.038357,4.086031,4.118010
1.663880,4.037533,4.086031,4.118010
1.664703,4.038357,4.085203,4.117179
1.664703,4.037533,4.085203,4.117179
1.664703,4.037533,4.085203,4.117179
1.664703,4.038357,4.086031,4.117179
1.664703,4.038357,4.086031,4.117179
1.664703,4.038357,4.086859,4.118010
1.664703,4.038357,4.086031,4.117179
1.664703,4.038357,4.085203,4.118010
1.664703,4.038357,4.086031,4.118010
1.665525,4.038357,4.085203,4.118010
1.663880,4.037533,4.085203,4.117179
1.664703,4.037533,4.085203,4.117179
1.664703,4.037533,4.085203,4.117179
1.664703,4.037533,4.085203,4.118010
1.664703,4.038357,4.084375,4.118010
1.663880,4.038357,4.085203,4.118010
1.664703,4.038357,4.084375,4.118010
1.665525,4.037533,4.085203,4.118010
1.664703,4.037533,4.084375,4.118010
1.664703,4.037533,4.085203,4.118010
1.663880,4.037533,4.085203,4.118010
1.664703,4.037533,4.085203,4.118010
1.665525,4.036709,4.085203,4.117179
1.664703,4.036709,4.085203,4.117179
1.665525,4.037533,4.085203,4.117179
1.664703,4.037533,4.085203,4.117179
1.665525,4.037533,4.085203,4.117179
1.665525,4.037533,4.085203,4.117179
1.665525,4.037533,4.085203,4.117179
1.665525,4.037533,4.085203,4.117179
1.664703,4.037533,4.085203,4.117179
1.665525,4.036709,4.085203,4.117179
1.664703,4.037533,4.085203,4.117179
1.664703,4.037533,4.084375,4.117179
1.664703,4.037533,4.085203,4.117179
1.664703,4.036709,4.085203,4.117179
1.665525,4.037533,4.085203,4.118010
1.663880,4.036709,4.085203,4.117179
1.664703,4.036709,4.085203,4.118010
1.665525,4.036709,4.084375,4.116348
1.665525,4.036709,4.085203,4.117179
1.664703,4.038357,4.085203,4.117179
1.665525,4.038357,4.085203,4.118010
